query,iterations,min_ms,max_ms,avg_ms,median_ms,std_dev_ms,cpu_avg,cpu_max,mem_avg_mb,mem_max_mb
Q1_Inserción_Simple,10,1.8689,29.7676,4.749,1.9381,8.7913,1.1,5.6,0.4316,4.6094
Q2_Búsqueda_Por_ID,10,0.7363,2.873,2.1034,2.3284,0.642,0.67,2.6,0.1547,2.4219
Q3_Filtro_y_Agregación,10,11.2933,18.0212,17.2126,17.8063,2.0827,0.83,3.8,0.1141,0.7227
Q4_JOIN_Simple,10,24.2279,66.1992,49.0541,49.4549,13.224,0.68,3.0,4.8324,41.8672
Q5_Agregación_Compleja,10,58.5209,68.25,64.1758,66.0341,3.8526,0.89,5.3,-1.2715,8.2109
Q6_Actualización_Masiva,10,27.5127,56.7841,41.7404,41.457,9.5813,0.86,4.4,-0.0176,0.6016
Q7_Consulta_Compleja,10,30.6826,72.5354,54.7984,53.127,12.2947,0.62,3.2,-0.1582,0.6953
Q8_Eliminación,10,9.24,42.0042,22.0607,18.8056,12.6551,1.92,15.8,2.8277,19.1562
