query,iterations,min_ms,max_ms,avg_ms,median_ms,std_dev_ms,cpu_avg,cpu_max,mem_avg_mb,mem_max_mb
Q1_Inserción_Simple,10,1.0483,28.1644,4.4538,1.9511,8.3401,0.03,0.3,-0.3164,0.9922
Q2_Búsqueda_Por_ID,10,1.9675,2.7836,2.4338,2.4168,0.2195,0.31,1.9,-1.4789,0.0195
Q3_Filtro_y_Agregación,10,40.0286,70.1589,52.7881,50.506,9.5427,0.58,3.0,-0.0125,0.6211
Q4_JOIN_Simple,10,273.1274,295.084,282.1556,280.8182,7.4506,1.79,3.6,-0.6199,15.0234
Q5_Agregación_Compleja,10,417.608,451.1301,438.4695,438.3105,11.1065,1.15,4.6,-6.877,5.207
Q6_Actualización_Masiva,10,194.5827,222.7596,210.0498,210.8147,9.7007,0.39,2.9,-0.0957,0.5664
Q7_Consulta_Compleja,10,274.8557,310.3627,291.0518,289.3523,10.3432,0.86,6.4,-1.4758,13.9023
Q8_Eliminación,10,113.7914,142.4585,131.402,134.2933,8.4702,1.71,5.1,0.5074,9.6211
