query,iterations,min_ms,max_ms,avg_ms,median_ms,std_dev_ms,cpu_avg,cpu_max,mem_avg_mb,mem_max_mb
Q1_Inserción_Simple,10,0.6126,26.4563,4.1479,1.984,7.8572,1.07,6.8,1.0645,6.1484
Q2_Búsqueda_Por_ID,10,1.1732,2.4862,2.0585,2.2195,0.4607,1.05,4.2,0.3324,2.2422
Q3_Filtro_y_Agregación,10,163.4524,183.3064,170.1662,168.752,5.6988,0.53,2.2,-0.0059,0.9492
Q4_JOIN_Simple,10,1481.3635,1595.8733,1524.2174,1521.5032,32.6609,0.78,4.5,7.0281,75.3438
Q5_Agregación_Compleja,10,2310.9633,2384.3557,2345.9346,2342.6452,26.4918,1.53,3.9,-3.9164,31.1094
Q6_Actualización_Masiva,10,944.839,983.7545,962.0001,964.8592,13.595,0.4,2.1,-5.552,0.3711
Q7_Consulta_Compleja,10,1417.1835,1496.6464,1460.7462,1464.5369,21.1749,0.29,1.9,-2.5453,38.1797
Q8_Eliminación,10,531.473,663.7573,568.0891,559.8506,35.4375,0.7,5.9,-0.1422,0.6562
