query,iterations,min_ms,max_ms,avg_ms,median_ms,std_dev_ms,cpu_avg,cpu_max,mem_avg_mb,mem_max_mb
Q1_Inserción_Simple,10,1.8612,22.95,4.0852,1.9644,6.6296,1.03,3.8,-0.8094,0.0039
Q2_Búsqueda_Por_ID,10,1.2599,3.1031,2.1151,2.3598,0.6056,0.21,1.8,0.0047,0.9102
Q3_Filtro_y_Agregación,10,1.0464,4.504,2.9346,3.7146,1.3118,1.43,5.3,-3.1418,1.1914
Q4_JOIN_Simple,10,1.5802,6.6095,4.9061,5.4318,1.5597,0.6,1.9,-4.8324,4.8906
Q5_Agregación_Compleja,10,4.6715,6.6697,6.3658,6.538,0.5981,0.65,5.4,-0.0324,0.125
Q6_Actualización_Masiva,10,1.0206,3.7061,2.8272,3.2105,0.8098,1.33,2.8,-0.1617,0.9648
Q7_Consulta_Compleja,10,2.9734,5.5162,5.1293,5.3327,0.7615,1.17,10.8,0.1723,2.2344
Q8_Eliminación,10,0.7806,2.7428,2.3425,2.5354,0.5833,1.04,4.0,-0.3402,1.1367
