query,iterations,min_ms,max_ms,avg_ms,median_ms,std_dev_ms,cpu_avg,cpu_max,mem_avg_mb,mem_max_mb
Q1_Inserción_Simple,10,1.9229,21.1883,4.8116,3.0991,5.7684,0.7,2.2,-0.2102,3.0156
Q2_Búsqueda_Por_ID,10,1.0464,9.2466,1.8837,1.0633,2.5871,1.09,3.1,-3.9762,0.7852
Q3_Filtro_y_Agregación,10,1.2317,8.3012,3.3812,2.373,2.3132,1.48,4.9,3.9184,37.3008
Q4_JOIN_Simple,10,151.2116,218.5144,170.5309,165.3914,20.5248,2.69,13.4,0.9691,10.5
Q5_Agregación_Compleja,10,164.3797,202.3254,188.6822,191.9811,11.1362,3.69,9.1,-0.1887,2.8906
Q6_Actualización_Masiva,10,1.0586,7.9745,1.7812,1.0942,2.1763,2.52,13.7,-1.525,1.5703
Q7_Consulta_Compleja,10,104.1094,181.534,131.2166,130.8473,20.6846,2.57,10.4,0.9273,9.6289
Q8_Eliminación,10,15.1787,43.4731,30.5428,32.8135,8.5266,0.65,2.2,0.0586,3.7734
