query,iterations,min_ms,max_ms,avg_ms,median_ms,std_dev_ms,cpu_avg,cpu_max,mem_avg_mb,mem_max_mb
Q1_Inserción_Simple,10,1.8273,20.7785,4.5594,2.8631,5.7107,0.17,1.1,0.2852,3.5391
Q2_Búsqueda_Por_ID,10,0.7875,7.8451,1.7475,1.0987,2.1451,0.8,5.9,0.0594,1.0078
Q3_Filtro_y_Agregación,10,18.2323,29.0603,21.8769,22.0705,2.9337,0.09,0.9,-0.084,0.0156
Q4_JOIN_Simple,10,805.8032,883.4761,833.5265,821.3366,28.5453,1.06,5.4,3.752,20.8477
Q5_Agregación_Compleja,10,1086.4483,1181.3753,1132.2679,1131.8285,29.5993,0.27,2.2,8.1359,89.6914
Q6_Actualización_Masiva,10,0.5583,6.3967,1.5255,1.0708,1.7215,0.47,2.6,-0.1086,0.6758
Q7_Consulta_Compleja,10,432.3074,458.3192,441.6227,439.8551,6.8559,1.84,7.7,-1.1523,15.75
Q8_Eliminación,10,45.7499,75.5655,66.9606,70.283,9.2917,2.79,14.1,0.5199,4.0117
