query,iterations,min_ms,max_ms,avg_ms,median_ms,std_dev_ms,cpu_avg,cpu_max,mem_avg_mb,mem_max_mb
Q1_Inserción_Simple,10,2.865,10.8832,3.7562,2.9693,2.5048,1.92,5.6,-0.1145,1.418
Q2_Búsqueda_Por_ID,10,1.0759,8.4309,1.8263,1.0925,2.3207,0.59,3.5,-1.6168,0.0078
Q3_Filtro_y_Agregación,10,0.6056,3.1348,1.2516,1.1556,0.701,0.65,3.8,-0.0797,0.0352
Q4_JOIN_Simple,10,0.6761,13.222,3.5175,2.7498,3.4775,0.79,4.0,0.3527,6.0977
Q5_Agregación_Compleja,10,0.8119,4.935,3.0169,3.2679,1.1145,0,0,-0.2527,-0.0508
Q6_Actualización_Masiva,10,1.068,1.9486,1.1914,1.1128,0.2675,0.54,2.0,-0.1637,0.6836
Q7_Consulta_Compleja,10,5.0058,5.5879,5.1005,5.0466,0.1739,0.7,3.1,0.0621,2.2383
Q8_Eliminación,10,0.6831,3.6511,1.2925,1.0696,0.8379,0.73,4.2,-0.0855,0.1055
